	text	label
137	obama working to legalize medical cannabis for all of the usa	0
138	when all the younglings are cornered in a room this is when the fun begins	0
139	my kids will never know that awful feeling of realizing theres no vhs tape behind the box at the video store	0
140	i hate when i see a black out in my neighborhood but i still offer my neighbors a candle	1
141	when you try to catch a dark type pokemon	1
142	yo dude who passed the aux cord	0
143	happy kids	0
144	somewhere in a galaxy far far away someone will say the nword	0
145	been dropping blessings all year like	0
146	been talking shit about trump since day one now crying like bitches after getting called out	0
147	you have adhd well i know a place i can send you where youll learn to concentrate	1
148	show intolerance for others religions expect highest level of tolerance for their own	1
149	kill all americans remind them islam is peaceful	1
150	either this works or im screwed	0
151	white kids kids dreaming about their first day of school	1
152	they can kill the messenger but they cant kill the message	0
153	when you forget who you are you too forget who they are	0
154	i swear harveys been chasing the same fly for the last 13 years	0
155	derek chauvin will need protection because he will definitely get attacked	0
156	but then again this is too good ekse	0
157	just trying to do my part	0
158	then i grabbed the booty like yahhhhhh	0
159	guess whose house wasnt raided by the fbi	0
160	donald trump proving you dont have to be poor to be white trash	1
161	seriously mate whats the fuckin point	0
162	do you know why i pulled you over because you scored low on the asvab	0
163	when an indian man marries he scratches the dot off his wifes forehead to see if hes won a gas station a motel or a subway restaurant	1
164	this could be us but you keep escaping	0
165	the third person in your tag list owes you a nigger	1
166	who said that women cant park	1
167	the face they make when youve left the plantation and you no longer think like them	1
168	4 ways to boil vegetables	0
169	sacred cross sounds like bullshit let me call my friend whos an expert in bullshit and fairy tales	0
170	what your ancestors were doing july 4 1776 what dummies do today for july 	0
171	happy presidents day mr president	0
172	democrats have a difficult time connecting with voters because of how smart we are because we know so much sen mazie hirono d hi	0
173	for what turn down	0
174	he can be his new boy firend	0
175	thats black people for you what did you expect	1
176	dont let this group get you downs	0
177	how white men look at you after theyve already called the cops	1
178	when you step on a lego on your front porch	0
179	equality in the work place at its finest	0
180	the only time youll see a muslim hugging a pig	1
181	fuck that puto	0
182	this old ass honky is a porch monkey you look at my woman step off johnny law	1
183	when the porn video features a tranny but then she turns out to be a midget too you had my curiosity but now you have my attention	1
184	we can kill as many as we want and your stupid government keeps bringing us in	0
185	immigrants wave our flag invaders wave their own	0
186	they trained you to hate the only man with the balls to stand up to them	1
187	back off murderers we fight for justice	0
188	when the dope man tells you youre onna have to earn a front but i poop from there	0
189	how to pick up jewish chicks	1
190	when your wife is secretly a dinosaur and you dont find out before she givs birth to four crossbreed raptors	0
191	new swing set installed at linkin park	1
192	the only kkk to ever let black men in	0
193	when the school shooter finally leaves and the hottest girl in class is laying dead on the floor its free real estate	1
194	in other contries in porkistan	1
195	when youre fuhrking her from the back and she says ill pay the gas bill daddy	1
196	when you finally get to go outside after being in the barn all winter	0
197	ugly mafuckas be like bru i know she want me i got dreads	0
198	making mashed potatoes	1
199	stay in step you loser	0
200	we are the knights who say nigger	1
201	a fire cracker	0
202	why isnt my drain working probably cause the pipes black	1
203	when you fall face first in the mud	0
204	i was going to paint my bathroom door but my girlfriend was dead against it	0
205	shit the dishwasher is broken again	0
206	breaking news a zoos chimpanzee escaped containment	0
207	shut up you meathead	0
208	sea monkeys	0
209	i see	0
210	im going home im russian	0
211	and that was the last nativity play my son was invited to take part in	1
212	lebanon before muslims after muslims but dont worry after islam takes over therell be a golden age apparently	1
213	i only wear silk panties cotton ones remind me of slavery	0
214	homosexuals get beheaded so the men cover themselves up	1
215	if the brim of your hat is flat and has a sticker on it i automatically assume youre a complete tool	0
216	there was a 4 car pileup in mexico today 93 people died	1
217	i didnt choose the tranny life the tranny life choose me	1
218	ah the young they blow up so quickly	0
219	oh how cute a guinea pig	0
220	i fucking hate dog shagging islamist cunts	1
221	im arrested and im in trouble	0
222	happy shot in the face day 522011	0
223	why do muslims were towels on their heads so if they run out of toilet paper they have something to wipe their ass	1
224	i got some down bitches i can call	0
225	feisch smeil	0
226	when you see your goat with another man	1
227	when the fbi raids your house and catches you nutting to 24 petabytes of child porn wonderful weather were having	0
228	i may be blind but at least im rich	0
229	i dont want to get attached to anyone anymore it only destroys me in the end	0
230	squatted trucks for when sucking dick while getting buttfucked just isnt gay enough	1
231	youre a rapist youre a rapist all mexicans are rapists	1
232	the old lady shows arthur what she used to do during the war	0
233	that look you give when dressed to the t	0
234	love is love	0
235	cameraman i dont understan psychic kid trust me this will be really funny someday	1
236	its a boy	0
237	you mad yeah youre mad	0
238	and if anything happens the women are to blame thats right its their fault definitely	1
239	when your uber driver arrives but youre probably safer driving drunk	0
240	when you start second guessing why you started the fight	0
241	you just went full goat fucker never go full goat fucker	0
242	how dark is your humor me	1
243	chocolate good job it dosent make all children smile	0
244	hope you had fun investigating me now its my turn	0
245	flowers for martin luther king day	0
246	adding coolant when the farm equipment overheats	1
247	it didnt happen because of the actions of one man it happened because of people who were just doing their jobs	0
248	this is really out of mein kampfert zone	0
249	raising goats is hard work	0
250	has anyone seen gary gary is about this tall	0
251	this is where i belong	0
252	why do white people own so many pets because were not allowed to own people anymore	1
253	black people started wearing their pants low white people called it saggin spell saggin backwards those sneaky white people	1
254	me respect women no i dont believe bush did 911 its just a meme	1
255	when each letter is a mental disorder	1
256	i just realized my life turned out better than yours checkmate bitch	0
257	the military finally captured the massive orangutan	1
258	when each letter is a mental disorder	1
259	usher and i have something in common we both got burned	0
260	chinese people be like happy thanksgiving	1
261	we have enough thoughts and prayers please send bobs and vagine	1
262	people who make fun of me are clowns and cowards	0
263	take advantage of un and foreign aidfunded housing and benefits death to the west	1
264	what do you call double stacked ovens jewish bunk beds	1
265	photo shooting day in office	0
266	if you kill as many as you want our goverment will put you in jail	0
267	what society thinks they will do vs what women will do when the economy collapses	1
268	when you tryna not be islamaphobic but that dudes backpack a lil too bulky	1
269	man of the year	0
270	when they say white folks dont know how to cook	0
271	mark zuckerberg marries an asian who else is capable of counting all his money	1
272	when you meet that gender studies student again my genders have doubled since the last time we met	0
273	more men with guns were sent to arrest 66 year old roger stone than clinton and obama sent to rescue our men in benghazi	0
274	when mom dresses you for picture day	0
275	i am the biggest piece of shit in london	0
276	god loves all his children all of them	0
277	whats the difference between boy scouts and jews boy scouts come back from camp	1
278	black men think killing each other is like killing soldiers in your own army	0
279	stop domestic abuse	0
280	israel must be destroyed no you scumbag piece of dogshit daughter of a syphilitic pig you will be destroyed	1
281	imagine if you will a group of people so disgusting they have to make laws making it illegal to hate them	0
282	see this it means furfags not welcome	1
283	apparently the british public cant put their finger on the problem	0
284	fight for our country to keep the land we made home	0
285	and just like that this sandwich maker doubles as ironing board	1
286	the media calls them refugees but this is what you will get	0
287	donald trump making his supporters laugh at a rally	0
288	wheres this bird box everyones taking about	0
289	best gamer ever 6 million kills 1 death	0
290	hi im the electrician im here to remove your shorts and check your box	0
291	how hungry people eat their food mmmm delicious	0
292	dudes be like im just going to like all of her pics except for the ones of her and her man	0
293	hide and seek european champion 19421944	0
294	meanwhile at the isis strip club	0
295	in my day you were either pro america or you were a commie you can call yourself liberal progressive or socialist but youre really nothing more than a commie pinko john wayne was never in the military	0
296	mexicans are rapist im lovin it happy hump day bitch	1
297	vw owners be like hmmmust be a tdi meet	0
298	when your ex says you wont find a btch half the woman i am	1
299	felt cute might go sit down to pee idk	0
300	when you think of a cute idea for maternity pictures	0
301	whats really crazy is it is illegal for minors to drink but not for minors to be taking hormones and having surgery to change their appearance to the opposite gender and nobody cares that gender reassignment is being paid for with their tax money and insurance premiums	0
302	youre one ugly motherfucker	0
303	how they see themselves how god sees them	0
304	now is the winter of our discontent day made glorious summer by this hump	0
305	rise of the planet of the apes 1963	1
306	yes im trying to divide the country im dividing the illegals from the actual citizens	0
307	meanwhile at the isis strip club	0
308	after 3 million years of evolution we have only lost the hair	1
309	black friday sale	0
310	my pussy is getting hard	1
311	says hes going to destroy isis too scared to speak in chicago	0
312	wait mohammad come back i didnt mean to laughreally size doesht matter to me lol	1
313	ever notice that christians are bad drivers	1
314	i hate snow its cold	0
315	when your eating out your grandma and you taste horse cum then think to yourself oh thats how she died	0
316	he asked me if its permissible to smoke marijuana in muslim country so i told him in our contries only gays get stoned	1
317	whats the difference between an illegal immigrant and et et learned to speak english and he wanted to go home	1
318	youll see both of the pics similar close your eyes 50	1
319	you knew i was a snake when you let me in	0
320	thanksgiving in china	0
321	we can kill as many as we want and your stupid government keeps bringing us in	1
322	admins be like this my group	0
323	hits blunt dog food lid spelled backwards is dildo of god	0
324	just bought my first slow cooker	1
325	when you cant decide to pre heat the oven or just throw the meal in right away	1
326	six months ago i couldnt spell kongris now lare one	0
327	this is nahir nahir is born in germany nahir is german this is fluffy fluffy is born in horse stable fluffy is a horse	1
328	when mom asks where all the jews went	0
329	when youre so racist you wont even hire white guys to commit fake white hate crimes against yourself	1
330	after 3 million years of evolution we have only lost the hair	0
331	i know you like her son but you cant just pull a girls hair until shes 30 or so they actually come around on this one	0
332	acceptance of individuality is not a disgusting thing	0
333	thats a nice turkey sandwich its haam	0
334	not my president not my residents	0
335	my irony meter just exploded	0
336	when a transgender takes a pregnancy test	1
337	weve ever seen worst case of suicide hear about that black guy who was shot 38 times	1
338	the only people who truly love each other based on personality are asians because they all look the same	1
339	whats the worst part of being black and jewish having to sit at the back of the gas chamber thats reich	1
340	talks about good morals day and night gets a boner from looking at a goats ass	1
341	north american pavement ape	1
342	banned for life from twitter for criticizing a movie used twitter to promote a hoax hate crime risking an entire race war still on twitter	0
343	thats enough facebook for today this sammich isnt going to make itself	0
344	the pope says trump is not a christian because christians dont build walls vatican walls are 40 feet high	0
345	motorcross bikes are ridden by drug dealers and gang members because they can easily elude law enforcement mothers against death sports if your child has an interest in motorcross they may have joined a gang or be involved in the illegal drug trade	0
346	mess with me and you mess with the whole trailer park	0
347	i dont like sandwiches oh well nevermind	0
348	whats black on top and white on bottom rape	1
349	baltimore is not infested with rats they live there	0
350	hey barack my tranny is better than yours	1
351	the bald eagle represents the strength and freedom of america	0
352	he can be his new boy firend	0
353	so like why are men even gay girls have buttholes too you know	1
354	i cant kill the terrorists theyre all my relatives	1
355	im here to drink whiskey and kill terrorists and brother im all out of whiskey	0
356	this is my wife and it is 100 percent legal under sharia law that is a fact coming to a city near you	1
357	you say islam is violent i will kill you	1
358	everyone jews why does the world hate us	1
359	on my way home had a hard week	0
360	yes sir thats a cock	0
361	when youre the only girl at the gang bang	1
362	what in the cornbread hell	0
363	they bow to a black woman while blacks praise well you know who	1
364	that blood you donated could be in someones boner right now	0
365	see i fuckin told you a little foil on top keeps them jewsy	0
366	a muslim was here	0
367	i hate the word homophobia its not a phobia why would i be scared of a faggot	1
368	do i hear flutes drums and the sash	0
369	the hardest part about breaking up with her is when you dont want to lose her	0
370	me trying to tell my her not giving a shit liberal friend how because all men are much i love and trash appreciate her	1
371	stupid you are breed you should not	0
372	hey mom the goats asshole is inside out what do	1
373	execute a plan to accept your actual born sex youll be happier when you do	1
374	make the best out of what you have	0
375	drive very cautiously on this road of life because folks will turn on you with no signal	0
376	i am ready to serve my first term	0
377	they told me to clean my weapons so i washed my hands	0
378	when you dont stir the nesquick powder in your milk enough	1
379	hold up when she says she likes hung black men so you take her back to your place and she starts tying a noose	1
380	promises trump is going to be arrested gets arrested the day after its confirmed trump isnt going to be arrested	0
381	obama trump pewdiepies wedding	0
382	last summer it was very hot	0
383	the cast of the view heading out to protest trump	0
384	i see american troops coming this way	0
385	oh you talk so tough from behind your keyboard tell me again what a badass you are	0
386	your birthdays good but it needs more cowbell	0
387	fuckin slaves	1
388	trump cant swing it	0
389	when you date an asian boy and you trynna get his family to accept you	1
390	what does blm stand for black lives matter	0
391	what happens when you stay out in the sun for too long	0
392	if you see me in public looking a hot mess just know my bills are paid my children have food i aint trying to impress you	0
393	they are not escaping to find a better life they are invading us to destroy ours	0
394	i once dumped a cross eyed chick thought she was seeing someone else	0
395	they want this not beause they love you they need to mix breed to preserve their species	0
396	white kids be like im killing everybody watch	1
397	i didnt buy a colour tv to watch naggers on it	1
398	burning them was a great public service	1
399	its a wiener pit kind of like your mom	0
400	went gay clubbing with some friends turns out out they were expecting something very different	0
401	remember when illegal aliens just wanted to just go home now they want free food healthcare and housing	1
402	why dont jews eat pussy because its too close to the gas chamber	1
403	last one there is a rotten fish	0
404	when you feel mentally unwell seek help	0
405	dont ever let a man do this to you	0
406	me locks the door every jew in the gas chamber	1
407	im not a racist	0
408	this is how lesbians have sex	0
409	you have adhd well i know a place i can send you where youll learn to concentrate	0
410	a short histoy of us presidents	1
411	dark humor is like food not everyone gets it	1
412	this would be racist if black people could read	1
413	illegal aliens immigrants	0
414	the day i realized i didnt need no bitch to bust a nut	0
415	some people arent your friends theyre just scared to be your enemies	0
416	after sex selfies	0
417	putting bows on your pet	1
418	no one could have ever predicted 911	0
419	hitler would not be a fan of the current immigration situation	0
420	a muslim threesome	0
421	why do black people smell bad so blind people can hate them too	1
422	the look you give when your husband would rather fuck a goat then you	0
423	youre in the wrong neighborhood motherfucker	0
424	when people say you have an explosive personality	0
425	when your mom has to take a picture everywhere	0
426	this one time at camp someone had too much gas	1
427	when someone tells me women must serve men	0
428	i pull up in this and yell come on we got some redneck sht to do are you getting in	0
429	when youre conjoined twins we often have the same thoughts	0
430	i work hard to provide for my cocaine addiction	0
431	i too was once a male trapped in a females body but then i was born	0
432	when one of your boy says hes a fan of conor mcgregor	0
433	happy birthday i made you a drink	0
434	the best game of all time farming simulator 1848	1
435	officer down	0
436	im not a racist my shadow is black	1
437	a cat in a pot	0
438	when you realize you left the stove on at home	0
439	it was on that day tom had enough of jerrys shit	0
440	you used so much thyme the doctor showed up to fix the paradoxes you created	0
441	my new muslim girlfriend not much to look at	1
442	i have a dream thats me with the belt	1
443	when you get a compliment out of the blue and have to try not to be bashful	0
444	how chevy guys go muddin how ford guys go muddin	0
445	when the air hostess gives you two extra slice of bread and a pack of milk but you still have to blow up the plane anyway musalman	1
446	remeber behind very great black man is the police	1
447	is bribing muslims for liberal votes justin trudeaus only skill why does justin trudeau love foreigners so much while openly disrespecting canadians canadian values our history and traditions our seniors and veterans sharia law has no place in canada never has never will	0
448	when youre a real life super spy	0
449	been here 3 months gets 1 400 wk from the government been here 6 generations gets loan to be repaid in full from the government	1
450	man buns you dont look like a samurai you look like a soccer mom	0
451	when youve finally had enough of your autistic brother you decide to sell him to the local pedophile	1
452	rashida tlaib in traditional palestinian garb	1
453	so you are telling me american gypsies are just white trash	1
454	muslims did this islam is not a religion its the worlds largest death cult christian girl killed for refusing to convert to islam this is islam	1
455	my culture has great food	0
456	celebreated 420 on january because i know how to reduce fractions	0
457	if you hold a black baby to your ear you can hear the police sirens	1
458	once you go black so does your eye	1
459	how we see muslims how muslims see us	0
460	trans women are women trans women are women trans women are women trans women are women she still gotta get a prostate exam at 40 tho	1
461	my husband is always pushing me around and talking behind my back	1
462	let me be perfectly clear i will never stop lying to you suckers	0
463	when your white friends invite you to dinner and tell you to bring whatever you want	0
464	rice cooker now versus in 1945	0
465	england where moslems can rape your children and reporting it is a crime	1
466	fuck multiculturalism have white babies	1
467	this shit right here is why i suicide people	0
468	once you go black you dont go back	1
469	what do you mean your chair i dont see you sitting in it	0
470	hello abdul today im alone at home abdul this is ultimate	1
471	before you go around launching lawsuits let me remind you of the surveillance photos we have of you remember that a tranny crack whore doing lines off your dick	1
472	the 5 to see the greatest band live in concert 100 to see a laptop live	0
473	alright im going to let go now	0
474	my sandwichmaker is very slow today	0
475	do you have any idea how black you were going	1
476	black on black	1
477	puts on sunblock doesnt protect from harmful rays	0
478	cheering on your team in the world cup	0
479	the horrors of the holocaust three us soldiers look at bodies stuffed into an oven in a crematorium	0
480	what you really mean when you say your going to the bathroom	0
481	when buslim nibba see his sister	1
482	when ancestrycom tells me that im 01 german rev up those fryers	1
483	running tired of bitches from the dick i give you the clamp that bitch down 3000	0
484	she will only marry a pubg player	0
485	we can kill as many as we want and your stupid government keeps bringing us in	1
486	thats the way allah allah i like it	1
487	time for my selfie of the day	0
488	do the goyim hate me because i am a subversive parasite with double standards no its because they are anti semits	1
489	meanwhile at the isis strip club	0
490	same	0
491	dont be a pooper	0
492	laughter really is the best medicine	0
493	america has stolen the jews the jews of god his jewelry the negroes they are the true hebrews google it	1
494	fifty shades of goat an isis love story	0
495	why cant we spend money on education instead of drugs	0
496	bruhh white ppl give me a headache	1
497	is my smile creeping you out you need to tell me if my smile is creeping you out	0
498	dont shoot im unarmed	0
499	motor neurone awards 2018 winner best trex impression	1
500	you cannot invade the trailer park there will be a dumpsterdefend with a yeet cannon behind every door	0
501	how to remember kid in hot car keep road beer with them	0
502	that face she makes when ahmed hits the gspot	1
503	when your teacher roasts you and your homie but he doesnt know about the bomb thats going off in 2 mins	0
504	if you havin road problems i feel bad for you son i got 99 problems but this ditch aint one	0
505	heres all 3 shooters the garlic festival el paso and dayton eerily similar in looks are you awake yet	0
506	my black boy friend	0
507	if theres even one homeless child in america we have no room for illegal aliens	0
508	the nazis had a toxic hate culture	0
509	let them pursue their happiness	0
510	gravity never heard of it	0
511	this goat is so raw muslims are trying to fuck it	1
512	under the name of multiculturalism we let terrorist into this country	1
513	survey are you gay or straight me lidentify as tired im just tired	0
514	fuck that puto	0
515	has an orgasm shoots out tranny fluid	1
516	when you catch your goat with another man	0
517	i am surprised to see you	0
518	until i invented the internet there was no medium for widespread theatrical selfaffirming expressions of moral superiority	0
519	if you shouted lock her up arent now shouting lock him up you might be a hypocrite	0
520	mexico first america last	0
521	him	0
522	it was gonna jump im holdin it back	0
523	i know youre lying but continue	0
524	thats why we bomb you	0
525	honor killings are part of our culture well then it will be my honor to kill you all	0
526	putting this on the fridge to look at every time go get a snack i dont need you could have easily lost tirty pounds tis munt	0
527	i only wear silk panties cotton ones remind me of slavery	1
528	there are three types of girls	0
529	wing wing wing herro thats racist	1
530	my dog loves the attention	0
531	that look when your father sells you for a goat	0
532	running for school	0
533	oi are you looking at me	0
534	when your fifth pet eats food from another guys hand	0
535	well kill you over some trivial shit then fucking mock your dying words	1
536	when a white person tells you happy cinco de mayo but you know deep in their heart they want you deported f u c k e r	1
537	love old trucks think everyone should have one	0
538	white trash go to hell trump fuck donald trump	1
539	i may not be a smart man ilhan but i know what a jewhating islamist sounds like	1
540	hope and change i built that	0
541	what if i told you that you cant tolerate a person who agrees with you	0
542	 day of grade sandy hook elementary school	1
543	gets mad about film portraying muslims as murderous savages responds by being a murdering savage	1
544	handjobs sold seperately	0
545	earths most endangered species white children	0
546	theres so much white trash in this picture i barely know where to start	1
547	i got arrested for punching this guy at a new years party when you hear an arab counting down from ten your instincts kick in	1
548	whats worse than a female driver	1
549	socialism people line up waiting for bread capitalism bread is lined up waiting for people see the difference	0
550	i have a dream that one day my people will not act like animals	0
551	coffee isnt helping get the jumper cables	0
552	if that fuckin bastard wins were all going to hang g from nooses you better fix this shit hillary clinton email to donna brazile october 17 2016	0
553	you know youre getting older when you walk by 3 priests and dont even get a look	0
554	we need problem solvers not racist and religious bigots in office	0
555	death to all muslims	1
556	slipped and hit the bathtub now everyone is asking if things are okay at home	0
557	meanwhile at the isis strip club	0
558	when an indian goes for walk with his dog	0
559	having a bad day you could be a siamese twin attached to a gay brother who has a date and youre the only one with an ass	1
560	how to get a black guy to see his baby	0
561	im not racist drug dealer is black	1
562	being a preadtor is not love this is love	0
563	a group of baboons is called a congress its all clear to me now	0
564	i hate when i see a black out in my neighborhood but i still offer my neighbors a candle	0
565	im long and strong and down to get the goat hump on	1
566	i started a business that sells landmines disguised as prayer mats prophets are going through the roof	1
567	healthcare for muslims	1
568	some noise and she start screaming when you at a concert with ya girl and the dj says all my single ladies make	0
569	knowing white people hes probably the father	1
570	we are coming to america one way or another we will rape pillage reap havoc riot on your nation while stealing your welfare	1
571	those protestants up to no good as usual	0
572	step one turn on the gas	0
573	converted to muslim why would you think that	1
574	that face she makes when ahmed hits the gspot	1
575	any girls a squirter if you sever an artery	1
576	congratulations its non binary	0
577	muslims goats	0
578	big birds species were mostly scavengers but like the turkey vulture they would attack weakened prey	0
579	attacking a person for who they are or where theyre from is an attack on their people and culture as a whole	0
580	a head diaper is required when you have shit for brains	1
581	keeping your dishwasher clean will make it last longer	0
582	when you have an 80 point iq but its the highest in your village	1
583	both men and women sacrificed in different ways but it was all to protect their comfortable home	0
584	if jesus rode ass why do christians hate gay people	1
585	i was gonna join the air force then i found my balls	0
586	they dont wash their ass with water and they eat their daughters ass	1
587	life is like a box of chocolates you never know what youre gonna get	0
588	when a girl says she is lesbian so you become trans to smash modern problems require modern solutions	1
589	first they laugh then they imitate	0
590	when did you two get married again	0
591	humans run the world dont sleep on us	0
592	how we see dogs what dogs want to eat when dogs are in heat	0
593	mooch in his natural habit	1
594	in 2011 trump said all americans are idiots in 2016 they proved it	1
595	an old man picked me up i told him kiss me and ill turn into a princess he stuck me in his pocket and i said arent you going to kiss mehe said im 85 years old id rather have a talking frog	0
596	the black ranger do you really think they were just talking about his costume your argument its completely valid	0
597	jews exist hitler theres enough goofy gas for everyone	1
598	middle eastern prostitute	1
599	i dont usually act like an asshole but when i do im probably fucking with someone from the shallow gene pool	0
600	i love black people think everyone should have one	1
601	valentine in islamic countries	0
602	how cops subdue whites blacks see the night and day responses	1
603	heeeeaad shoulders wheel and frame wheel and frame	0
604	one does not simply believe its not butter	0
