	text	category
180	chillin with my chromies	1
181	hillary isn't in jail, the wall isn't built, isis hasn't been defeated & obamacare is still in place but trump gave himself a $23 million tax cut and that is important to me	0
182	what i say about the gunman every time there's a mass shooting	0
183	this is really out of mein kampfert zone	0
184	god will forgive you no matter what you've done sweet	0
185	hey liberals & democrats have you forgotten	0
186	pure american muscle	0
187	they stole ma chickin i stole their life	1
188	all races are equal	0
189	when you haven't stolen anything in a week	0
190	when you have errands to run but you're too tired to deal	0
191	husband gives massage.. ...aaaand now i have a dick in me	0
192	who cares if mexicans are offended americans are offended by illegal immigration	1
193	hold up when she says she likes hung black men so you take her back to your place and she starts tying a noose	1
194	loyalty always has a cost some times it pays off... ...and some times you take a loss	0
195	fuck islam	1
196	ain't nothing but a goat	0
197	what your ancestors were doing july 4, 1776 what dummies do today for july 4th	0
198	ignorance and hate will lead you to nothing but shame	0
199	when there is no pinyata at the party but the emo kid just hung himself improvise. adapt. overcome	0
200	lost african tribe	0
201	anne frank writing in her diary	0
202	a german ss soldier punishing a small jewish boy by sticking a sharpened spear in the boys anus, auschwitz concentration camp, poland 1944. (colorized)	1
203	definitely a new cultural era!	0
204	when you suicide bomb an islamic mosque during a friday worship	1
205	"my wife asked me where i'd like to be buried apparently, ""balls deep in your sister"" wasn't the answer she was expecting"	0
206	dick punch funny regardless of species	0
207	this beef is so raw its eating the salad	0
208	lisa page: obama doj ordered fbi not to prosecute hillary clinton why is the mainstream media ignoring this bombshell	0
209	when you're fucking but wanna make sure he's not stealing anything	0
210	replaced kitty litter with pop rocks	0
211	so..convert to islam or die?  i say fuck it..let's roll	0
212	cadbury's halal creme eggs  now available in special edition	1
213	i'm sorry i left the seat up, it won't happen again	0
214	ever notice that christians are bad drivers	1
215	teaching them how to hunt young	0
216	when mohamed puts it inside	0
217	let's see if they get scared now ! bring they ass out here ! we will cut their heads off	0
218	when you find out who's been eating your leftovers	0
219	trump supporters be like show me where he lied	0
220	you are not wanted! you are a mental deficient!	0
221	it's a proven fact marines islamic radicals are less prone to violent acts after they've been shot in the head	1
222	when instincts take over	0
223	when you make a meme using a different language that everyone can still understand: no es mucho, pero es trabajo honesto	0
224	18 years later	1
225	says he alone is tough enough to defeat isis still too chickenshit to release his tax returns	0
226	when you find the cake your mum was hiding from you	0
227	welcome refugees to poland's newest 5 star hotel	0
228	i date crazy bikers with beards cause once you ride a beard and a harley you don't go back	0
229	heroin is destroying the white community keep up the good work heroin	1
230	and then i says to her no, i got your nose	0
231	infamous	0
232	gee, i'd like to suicide bomb the crap out of that church, but i got a thing at 5 couldn't abdul do it?	1
233	look at this throatagraph	0
234	the look your women gives you when you can't finsh the job	0
235	the pimp hand strong enough for man but made for teaching	0
236	wait this isn't my dog	0
237	real friendship is sending them a link to something terrible so you can both be traumatised at the same time i torture all my friends. it's how i show love	0
238	a muslim in congress wants to get rid of homeland security let that sink in	0
239	this is why we shoot you guys	0
240	this chick can't stand fishing	0
241	lesbians should not be allowed to buy dildos you made your choice bitch, now live with it!	1
242	when your fifth pet eats food from another guys hand	0
243	please be patient... we creating a better fuckup for all	0
244	chinese ppl be like happy thanksgiving	0
245	in this edition we don't buy property; we steal it!	0
246	it happend mom, a black guy gave me complement ohhh sweety i'm so sorry. that means you need to lose about 30 pounds	1
247	this isn't the way, there's always a better way	0
248	it's ma'am look i found a penis	1
249	i don't always feel like i'm at the top of the gene pool but when i do, i'm at walmart	0
250	when you catch your goat with another man ya done fucked up	0
251	hey, i just met you, and this is crazy, this is my grenade so blow me, maybe?	1
252	as much as abdul tried he could not get the fucker into first gear	0
253	when you drink and drive you will get busted	0
254	when people ask me who my favorite golden girl is	0
255	where did jimmy go during the bombing? everywhere	1
256	been talking shit about trump since day one. now crying like bitches after getting called out	0
257	in a wolrd full of these people be this person	0
258	when your boss asks for the report but you went out the past few nights	0
259	a good heart goes a long way	0
260	oh, you're tired of my anti-trump posts? why don't you pray for me to stop?	0
261	obama voters	1
262	feel that? it used to belong to bruce jenner	0
263	how people look at me when i tell em i don't have kids	0
264	whose dick do i have to suck to get these charges dropped?	0
265	can afford to travel from romania to london still picks your pocket	0
266	immigrants illegal aliens	0
267	meanwhile at the isis strip club	0
268	the loudest one in the room.. is the weakest one in the room	0
269	how could this happen in the current year? when it's 2019 and there are still people who refuse to celebrate rectal wart sex	1
270	ernie mocks tyrone's lack of a father in front of the whole class	1
271	when you see a child in a gay parade half naked twerking with everyone celebrating ernie prepares to commit a hate crime	1
272	how many times do we have to teach you this lesson, you tranny freaks ?	1
273	why is it bad to be a black jew because you have to sit at the back of the oven	1
274	what people do in the bedroom is not anyone else's business	0
275	when you hear 'em yelling that allahakbar crap, just shoot 'em before they blow up a bomb, or start stabbin' and shootin' people	1
276	i really like 50 cent or as we call him in zimbabwe 4 billion dollars	0
277	banner in the streets hulk in the sheets	0
278	wait, mohammad come back!! i didn't mean to laugh, really size doesh't matter to me lol	0
279	"""america has stolen the jews the jews of god. his jewelry. the negroes. they are the true hebrews"" google it"	1
280	left lanes need to exit right right lanes need to exit left here's 300 feet. make it happen	0
281	wing wing wing herro? thats racist!	0
282	we are soldiers and we fight for our countries to our last minutes	0
283	liz krueger, n.y. state democratic senater wants to infiltrate the nra and take it over yeah, just like she infiltrated mcdonalds all those years..	0
284	wait for it .. 	0
285	wants you to accept him for being a girl couldn't accept himself at birth	1
286	i hate all fucking jews they are scum of the earth	1
287	when you eat her ass and then she say that she don't suck dick... wayment	0
288	for seal thanks.. very fucking useful	0
289	it's time we make peace with islam	0
290	when ur too young to know the concept of racism but ur happy cause u got a new pet	0
291	what's the difference between menstrual blood and sand? you can't gargle sand	0
292	when i grow up i'm going to be a famous doctor	0
293	i said a glass of orange juice not just any juice	0
294	im not racist because racism is a crime and crime is for black people	1
295	still smiles even when they are scared	0
296	"the only ""perferred pronouns"" a tranny needs is ""it"" or ""thing"""	1
297	ex girfriends be like.. i don't even care what he does anymore!!!	0
298	he's making a list, checking it twice gonna find out who's getting deported by i.c.e	1
299	i win again! parkinson's center	1
300	fuck allah, fuck muslims and fuck islam. and if you don't like what i say then fuck	1
301	be kind to those less fortunate than you	0
302	love is love respect	0
303	we swore we'd never forget 911	0
304	i may be blind but at least i'm rich!	0
305	you don't need an ar15 to protect yourself but he does, and this guy and this guy, and him and him and him	0
306	laughs in 52% of us crime rate	0
307	when black people make white jokes when white people make black jokes	0
308	justin trudeau the imam of canada	0
309	with sensitive ass people, my sense of humor is way too fucked up for that	0
310	my little brother ate all the scrabble tiles... sense than alexandria ocasio-corte ton and his shit makes more sense than alexandria ocasio cortez	0
311	i'm not saying that your perfume is too strong. all i'm saying is that the canary was alive before you got here	0
312	do you have any idea how black you were going?	0
313	you may be a racist if.. your response to a question from an african american is to mention the inner city 25 times	1
314	when i was a kid i thought black people were made from anal sex	1
315	greetings ... time to run	0
316	"a girl asks her mom, ""why am i black and you're white?"" she says, ""the way that party went, you're lucky you don't bark. """	1
317	when you have to fight captain america because you had an argument	0
318	chelsea clinton.. so ugly that when she gives head, it counts as anal	0
319	no less beautiful	0
320	i'm so fucking gay i can't even think straight	0
321	government shills hate him!!! <<< this aussie shitposter removes 50 muslims with this one weird trick and basically you are fucking accelerated!	1
322	if i can't trust you i don't need you	0
323	everybody having kids /getting engaged and i'm over here like	0
324	never let someone who has done nothing tell you how to do anything	0
325	and for my next trick i'll make democrats defend rats	0
326	i didn't hear the question ... ...but the answer is, white people are racist	1
327	rosie o 'donnell had to be removed from her home today to make good on her threat to leave the us if donald trump became president	0
328	i'm going to prison aren't i ?	0
329	hoes be like why can't i find a good man	0
330	when you take this girl on a date and she won't stop talking.	0
331	i could have annihilated all of them but i left some of them alive so you will know why i was killing them	0
332	keep it up and you'll get some regime change	0
333	when she's mad at you but you want her attention	0
334	mobile nun	0
335	didnt stand during the national anthem... no one said a word... # whiteprivilege	1
336	come on our shame tour! we will show you how to murder babies and harass the elderly	1
337	if they aren't meant to cook why do they have eggs and milk inside them	0
338	white people dont shoot eachother in the streets like black people do we do it in schools, because we have class	1
339	"""people are tired of the same, old ideas"" says the 74 year old socialist"	0
340	don't get me started about your tranny problems	0
341	when you advocate for killing babies after their birth and then you have ash on your forhead for ash wednesday unbelievable smh	0
342	donald trump proving you don't have to be poor to be trailer trash	0
343	this one time at camp we got so baked	1
344	never had one before . what? a room to yourself? a white bitch	1
345	when your stoner friend looks in your fridge	0
346	i put brake fluid in my meth... now i can stop whenever i want	0
347	when your goat hits your g-spot	0
348	when you're trying to be a good student and just learn magic but three kids in class keep getting in trouble all the time	0
349	confession-every sunday around brunch time i take my cat to the mall and make people take pictures of us	0
350	thanks trump for my new job making america white again	1
351	for guys that like it nice and slow gimme a call	1
352	march 8th international women's day	0
353	forgive me allah.. i just can't understand why i am allowed to behead my enemies and marry little girls, but i can't eat a fucking ham sandwich	1
354	jokes don't kill people they kill people	0
355	if he's marrying me then why's he fucking a goat	0
356	fuck you, asshole how's that for customer service?	0
357	get ready for your future white folks.. nuclear fire & eternal slavery!	1
358	that face you make when you get asked a question and have to think on it for a while	0
359	colin kaepernick and his evil white oppressors oh wait, those are his parents!	1
360	go ahead, call the cops see who cums first	0
361	terrorism is just part and parcel of living in a big city. sadiq khan london mayor tokyo: over 13 million people no islamic terrorism	0
362	animals enjoy motorcycle rides too	0
363	when nobody knew who you were until you got on your knees	0
364	cutest little beagle in the whole wide world	0
365	creeps into your childs room empties his sack	0
366	black chicks even the white ones are ugly	1
367	grandma is not getting run over by a reindeer this year!!	0
368	holocaust jokes are offensive ann frankly aren't funny	1
369	love is love is love is love	0
370	muslims in a predominantly christian nation christians in a predominantly muslim nation	0
371	well judge, made me do it all remember it was me who first said was kenyan	0
372	when your goat tells you she ain't on the pil	1
373	the old lady treats arthur to some delicious cookies she's baked	0
374	so i prayed over him like this and i made sure he felt the lord inside him	0
375	been dropping blessings all year like	0
376	watch out i'll put a bomb in your car	0
377	i'm not racist. racism is a crime and crime is only for blacks	1
378	"""where did you learn to make kool-aid like that britney?"""	0
379	what do you call a black guy in a tree with a briefcase.. a branch manager	0
380	when you beat up a black kid and get arrested for propriety damage	1
381	thats a little savage	0
382	abba ree i can fryyy	1
383	"did i just hear grandma tell me ""no"""	0
384	shes got them summer teeth summer here summer missing	0
385	when you her ass and then she say that she don't suck dick.. wayment	0
386	batman! thank god you've arrived!	0
387	learning to ride a bike	0
388	when you finger a girl from auschwitz	1
389	obama voters	0
390	he's like 20 and still plays video games bitch please, yall 15 and pregnant	0
391	cooking teacher: 'today we'll learn how to use the ovens' the german kid:	1
392	"""islam is love!"" - ariana grande yeah, if you're a goat"	1
393	"""islam is love!"" ariana grande august 2017 hillary clinton rally yeah, if you're a goat ***"	1
394	hmmm minyoda i am beat women i must	1
395	how do we destroy the patriarchy? it's simple. we eat it	1
396	"""i went to walmart and picked up a new sandwich maker."""	0
397	new for 2015 peel and stick eye-slit stickers to make your garbage & trash sharia compliant in compliance with sharia law, you can now turn all your garbage into muslim trash!	1
398	when you feel beautiful no matter what the haters say	0
399	you'd be angry too if you found out they cancelled your favorite show	0
400	what's hillary's favorite pizza? little seizures	1
401	when the muslim kid you bullied starts counting backwards	1
402	"""okay class bring out your calculators"" mohammed:"	1
403	i refuse to debate gun control with folks who eat soap and are confused on which pisser to use	0
404	i think i almost got my dishwasher working	0
405	the old lady shows arthur what she used to do during the war	0
406	that's where the new skyscraper is going to come up	0
407	when you run out of bras and have to hold the girls up on your own	0
408	both men and women sacrificed in different ways but it was all to protect their comfortable home	0
409	the fuck did you just say?	0
410	i can put up with muslims killing canadians but i absolutely will not tolerate canadians criticizing muslims	1
411	i am 73 years old. who's going to ask how i do it??,,,	0
412	felling cute might fuck a goat later. idk	0
413	how to get out of a gym contract	0
414	his grandparents died in the holocaust so we gonna put an oven in the trunk	1
415	islamic warrior's funeral in palestine	0
416	how it feels being a military spouse over 30	0
417	chloroform puts the sensual back into non-consensual	0
418	what do you mean happy columbus day?	0
419	exfoliating with the tears of my haters	0
420	reaction to a home invasion non gun owner: we're gunna die!!! gun owner: i'm your huckleberry	0
421	when you have flashbacks from wwii	0
422	as muslims, our quran orders us to immigrate to other countries, replace their governments with sharia law, orders the murder of christians, jews and all gay people, while embracing slavery and pedophilia. thanks democrats for making it so easy for us!	1
423	i didn't choose the tranny life the tranny life choose me	1
424	how the co looks when he tells the crew were not getting mail on the next ras	0
425	i support americans even though some of them are really hating on me right now	0
426	dark humor is like him '' it never gets old	0
427	tries to send killers to kill dante in dantes inferno	0
428	it is disgusting to laugh at gender dysphoria	0
429	based in america	0
430	this is what vitiligo looks like	0
431	what every muslim looks like to me	0
432	"""so first of all you guys didn't even invite me to your little airport fight and you guys know how much i love fighting so fuck you"""	0
433	all those in favour of bringing swedish women to america as refugees instead of muslims please like and share	1
434	i said glass of juice not gas the jews	1
435	can i get an order of savage with no chili please	0
436	when you ask your girlfriend who tf is texting her at 1:47 a.m	0
437	mississippi wind chime	0
438	auditioned for jazz band not enough soul	0
439	throwing off a gay one with the boys	1
440	no means no unless she's dyslexic then it's on	1
441	we will kill every man, woman, child shia, sunni.... zoroastrain, kurd or christian but we don't touch israel why is that?	1
442	when it comes to acting scarlett johansson has amazing tits	0
443	influence elections? haha that's a hoax	0
444	to bad i don't speak peasant .!	0
445	racism exists among all races in the world.. white people are just better at it, like most things	1
446	never forget the holocaust	0
447	white people doing weird shit black people being criminals stereotypes they exist for a reason	1
448	record black employment record black welfare record black imprisonment	0
449	happy and stupid	0
450	when you step on a landmine but you do not weigh enough	0
451	fuck i stepped in shit	0
452	when you finger an asian girl	0
453	10-4 copy that, approaching the suspect	0
454	pauline hanson warns: obey our our rules our rules or go back where you came from!	0
455	the answer to the age-old question, does a bear shit in the woods? answer... yes they do! and here is scientific proof	0
456	and to think, i almost swallowed you	0
457	bank took your house? that must be tough	0
458	hey kids for a good time dial #666-hotdawg	0
459	you ever get laid in a sleeping bag? it's awful. you can't even move, you're drenched in sweat, and your scout master is covering your mouth	0
460	"pissed off two men becuase i refered to them as hipsters apparently the correct term is ""conjoined twins"""	1
461	any girls a squirter if you sever an artery	1
462	the tranny your you been girlfriend fucking	1
463	friendly reminder: a hooker and con man are in the white house fucking things up	0
464	they told me i could become anything so i became a scarecrow	0
465	our voice can change history for better or...worse	0
466	indians evolution after 15august1947	1
467	i was chatting this liberal chick in a bar who told me that i should be more open to muslim culture so i raped her	1
468	obama throws first pitch at an all-star game	0
469	no difference between both	0
470	how it feels to chew peppermint gum after biting a jalapeno	0
471	when you eat your rehab romance booty in the laundry room but she's day 3 sick	0
472	live your life every moment	0
473	i like offending people because i think people who get offended should be offended	0
474	smoke pours from the wtc on 911	0
475	me during no shave november	0
476	i had twins with my third husband, which i conceived while married to my first husband, and delivered while married to my second husband, who adopted them before i divorced him and married my third husband. but that was then, now i'm married to my fourth husband. i'm just an evangelical who believes in the sanctity of marriage	0
477	"she literally tweeted ""let's make gas chambers great again"""	1
478	once you go black so does your face	0
479	running tired of bitches from the dick? i give you the clamp that bitch down 3000	0
480	chicken niggers	1
481	this has nothing to do with this post but i have 2 barely fucked goats for sale	0
482	we're new, bold, and we hate you! we hate whites, jews, christians, conservatives, republicans, & patriots	1
483	sad world history	0
484	it wasn't my fault my truck has tranny issue's	0
485	on behalf of nsw go f@#k yourself queensland	0
486	not all angels reside in heaven.. many walk the battlefield.	0
487	when each letter is a mental disorder	0
488	my dad is the best at hide and seek he's been gone for 15 years	1
489	your purchase of $19.99 comes to $21.36 after theft	1
490	when another dog pees on your lawn	0
491	when you're a nazi officer and someone gives you the name and location of a jewish family	1
492	hello jesus thanks for making a way!	0
493	that's right white crackers	0
494	everyone knows hitting appliances that stop working, sometimes fixes the problem	0
495	"barn army enlist, and bomb ant hills ""grab your pitchfork and meet at the barn"""	0
496	be sure to spay or neuter your spouse today	0
497	when you catch your goat with another man	0
498	mississippi wind chime	0
499	black people: damn y'all crackas some bitches y'all so sensitive lmao mayo ass crackas white people: black people:	1
500	in alcohols defense i've made some pretty shitty decisions while sober	0
501	when someone starts acting all friendly, but you already know what they really are	0
502	burning things that don't mean anything to you	0
503	what's the difference between a cow and the holocaust? you can't milk a cow for 75 years	1
504	if you outlaw abortions abortions will just happen illegally but if you outlaw guns we will all be safe from gun crime	0
505	when the chow mein was on point but you kinda miss your cat	1
506	the thing about deeply depressed people is we don't smile with our teeth we smile with our eyes	0
507	my momma... momma says girls are the devil	1
508	the most beautiful chimpanzee and above him is one uglyass retarded nibba who says dc is better than marvel	1
509	"when someone says, ""money can't buy happiness."" then explain these."	0
510	and then i said homosexuals can go to heaven	0
511	just like that democrats who said you aren't mature enough to own a gun til 21 decided you are mature enough to vote on laws about guns at 16	0
512	what bomb	0
513	elon musk presents infinite energy source	0
514	new seat belt design 50% less accidents	0
515	when you tell him he can't go to chic-fil-a on sundays. what do you mean?	0
516	it didn't happen because of the actions of one man it happened because of people who were 'just doing their jobs'	0
517	when they asks why you dropped the muslim kid off from school to give the parents back their bomb	1
518	when you floor it but your passengers arent ready	0
519	you can't get her pregnant if she's a goat	0
520	you see that?? it means get the fuck back to the kitchen	0
521	now imagine if native american cowboys rode bicycles	0
522	not all of us are terrorists but all terrorists are one of us	0
523	first rule of fight club.	0
524	who let this retard in this group	1
525	africa 100 years ago africa today + aids	1
526	*laughs in goat-fucker*	0
527	christianity making white people stupid for the past 2000 years	1
528	and then i said, mr. president only targets there's no walmart's in north korea	0
529	a bad day for everyone including muslims defend homeland security a good day for us all in 2019	0
530	hachimaki is a traditional headband worn by japanese men	0
531	beach vibe	0
532	lmao laugh my ass off	0
533	gays on their way home after pride week	0
534	take me out for dinner first then you have my permission to play lol	0
535	i'd like to report hello 911 emergency? a misandry! yes this girl came out of nowhere and totally ignored my man feelings!	0
536	black friday sale	1
537	roses are red, violets are blue mexicans are rapists, and so am i	1
538	we are peaceful people	0
539	all walks of people can celebrate the gift of life	0
540	the smell of not wearing deoderant	1
541	when the pope addresses the people he does it with a smile	0
542	when you're shooting up the school and the cops shoot the black kid that's running away	1
543	they trained you to hate the only man with the balls to stand up to them	1
544	don't do the crime, if you can't do the time	0
545	when you've had a long day but you need to but geroceries	0
546	o yeah we got the nintendo switch! hey goat, yes human? close your eyes goat, ok human	0
547	(muslim noises)	1
548	summers here lets swim	0
549	first of all, take a moment to realize who the fuck you are talking to	0
550	good skeleton	0
551	i just started a company selling landmines that look like prayer mats prophets are going through the roof	0
552	"""radical"" islam? is there a kind that doesn't molest children and goats and behead people?"	1
553	when you introduce someone to a new meme you like that?	0
554	when you vent to a white person ughh, my mom pissed me off wanna kill her? there u go wit dat bs	1
555	man getting arrested by the la pd	0
