text	category
i'm sick of politics so here's a pic of michelle obama riding a unicorn	1
when you suck at photoshop	0
for the last time.. i'm not michelle obama	0
i'm cute	0
and then i told them you're going on a fun camping trip	0
"the jussie smollett case explained. ""how do you plead? "" ""innocent!!!"" ""black, gay, trump hater, friend of michelle obama"	0
please consider donating water to children in need	0
you're a wizard motherfucker	0
relax mexicans you are rapists, drug lords and criminals	1
hey look at me! i'm a serial pedofile	0
when you just finished shooting a bunch of black kids but accidently killed a squirrel	1
obama working to legalize medical cannabis for all of the usa	0
my wife just got a seashell tattoo on her inner thigh if you put your ear to it you can smell the ocean	0
when you beat the shit out of the tranny hooker after you nut and call it a f****t but it doesn't get back up	1
ring ring hello? i've been waiting for your call all damn day!!!	0
i like my refugees like this '' '' ''	0
when you get hungry you can either think about it or..	0
what's the difference between a jew and a pizza? a pizza doesn't scream when you put it in the oven	1
taking photo with a mosque	0
"""ay, tone. how'd da gas stay in if da door is made of wood?"""	0
what do i have in common with cow pies? the older we get, the easier for you to pick us up!	0
running chocolate	0
imagine, if you will an entire country so ignorant that the people wilfully give billions of dollars in order to elect rich criminals to rule over their lives and steal their money, but believe they are free	0
im never doing a garden again!	0
coming soon to your neighborhood 300,000 islamic heathens demanding the usa change to suit thier sick religion	1
listen bitch, before you start fucking with me you should know my team is bigger	0
masturbation it's not just for men	0
what is this sleep of which you speak?	0
oakland mayor libby schaaf i saved 800 ms-13 rapists, murderers, molesters from ice	0
"what if i told you that you cant ""tolerate"" a person who agrees with you? """	0
look both ways before you cross the street	0
what kind of punch can take out 20 kids and 6 adults? a sandy hook	1
"she said ""choke me daddy"" so i gave her 2 popeye's biscuits without a drink"	0
meditation before going to school	0
we can kill as many as we want and your stupid government keeps bringing us in	1
so there is this new implant that can actually fix stupid	0
if you're vaping inside a mcdonalds, inside a walmart ... that's the turducken of white trash	1
this cat is pushing a watermelon out of a lake. your argument is invalid	0
what do you call a retarded jew? auschwistic	1
that blackened chicken was so dry it reminded me of your mother	0
yo dawg, i heard you like memes  so i made a meme mocking memes you so you can can mock me knocking memes while reading mock memes	0
when everybody's worried about their ex but you're just here enjoying your lemonade	0
cannibal tribe from indonesia will take muslim refugess in any amount	1
when you see the gas bill	0
cheers to all the people who can change their minds when presented with information that contradicts their beliefs	0
broken chair	0
stop being a bitch	0
honestly how often do you masturbate?	0
spending quality time with dad	0
when you consume too much trans fat	0
when i was a boy we didn't have things like adhd. it was called being a little bastard	1
y'all kids claims to be victims of slavery when we were the ones who lived it	0
jews are the problem. not just zionists or israelis. jews. all of them	1
him: the dishwasher is acting weird her: what's it doing? him: chopping fucking vegetables	0
be happy you dont have neanderthal dna	0
"black people black people ""why would white america do this?"""	1
white people walked on all fours before black people came and showed them how to stand up	1
when you turn on the light and realize you have been fisting the wrong hole	0
its national hebrew day go pick up a hot girl	1
mohammad is fucked by blink hacker group! oink oink! hi! my name's mohammad! fuck you muslims!	1
i woke up like this	0
i am still so confused about the strategies in this game	0
"""at first, i didn t want to wear a hijab."" ""but my husband convinced me otherwise."""	0
i stand with hitler these was this time at auschwitz when i needed medical attention and doctor mengele was there for me	1
if you hold a black baby to your ear, you can hear the police sirens	1
meanwhile at the isis strip club	0
just ordered the new anne frank puzzle	1
what's the difference between a walrus and a lesbian? one smells like fish and has a moustache and the other is a walrus!	1
i'm not transphobic i just think trans people shouldn't exist	1
hitler getting his tan on	0
i'm uncertain where i stand on abortion i like the killing babies but hate the idea of giving women a choice	1
when you're facetimeing and accidently fall down the stairs	0
when your wife and girlfriend dont get along	0
i like your cologne what is that? tricare? deers	0
literally nobody: white people sitting at the bar: can you put it on the golf channel??	1
bitch, say something else	0
this is racist but this is not?????	0
your tits... in my hands, put them you will	0
there must be some way this victimizes me	0
"when your eating out your grandma and you taste horse cum then think to yourself ""oh that's how she died"	0
damn girl that's a policy i could get behind	0
this guy grabs your girl's ass in the bar what do you do?	0
it's important to listen to your elders please don't forget!	0
when you have to make your own pool	0
that look when you wanna cut a bitch but you remember your a changed man	1
if you believe that, i've got a virgin goat to sell you!	0
immigration invasion learn the difference	0
want one as a slave when you watch how slow they work and you wonder why anyone would	0
when you finally buy a dishwasher this works a lot better than a sponge	0
we build our houses with stone	0
whats the difference between santa and the jews santa goes down the chimney	1
how to remember kid in hot car keep 2nd road beer with them	0
you are so cute	0
it's ma'am!! yooouu lookah like a man	1
bigbird singing to child on seasame street	0
best part about a hooker dying on you? the 2nd hour is free	0
the enemy within ilhan omar linda sarsour rashida tlaib ocasto-cortez	0
white people already paid reparations	0
making america white again	0
scared you today, didn't i?	0
subway is similar to prostitution you pay someone else to do your wife's job	1
my friends coming to see me after a crazy friday night	0
trump supporters be like mexicans stole my teeth	0
i heard we can get free steroids in australia please help feed and house this poor, defenceless refugee. don't be racist and let me in!	1
go be gay somewhere else	1
celebreated 4/20 on january 5th because i know how to reduce fractions	0
when the employee asks what bra size you wear	0
god: *creates jews* god: *creates jesus* jews: *kill jesus* god: *creates hitler* god:	1
gays aids it really be like that	1
congratulations it's non binary	0
islam is the religion of peace! if you don't agree i kill you!	1
send me sexy pic	0
when you're a convicted rapist but reruns of your show are still on tv because it's not like you tweeted something	0
when they don't get the memo that they lost the war	0
the look you give when the bubbles in the pool are pulsating your pussy just kidding she's retarted and thats her normal face	1
racing for pink slips in africa	1
we kill you on 9/11 and you elect 3 of us to congress, stupid infidels!	1
if he's marrying me then why's he fucking my mom	0
when you bout to nut in your cousin and you hear the barn door open	0
9 months before i was born i went to a party with my dad and left with my mom	0
go be gay somewhere else	1
just got a bootleg copy of muslim porn deep goat	1
cute getting ready to start kid her life too bad shes already fkn' dead raped and murdered by an illegal immigrant	1
what women think they'll do when the economy collapses vs what they'll actually do	0
when she smiles at you from a distance	0
see if you can find the guys from white chicks lol	0
smirked at an adult media coverage: 30 days shot up a school media coverage: 2 days	0
"nothing says ""pull me over"" like some red solo cup brake lights!"	0
chillin with my chromies	1
hillary isn't in jail, the wall isn't built, isis hasn't been defeated & obamacare is still in place but trump gave himself a $23 million tax cut and that is important to me	0
what i say about the gunman every time there's a mass shooting	0
this is really out of mein kampfert zone	0
god will forgive you no matter what you've done sweet	0
hey liberals & democrats have you forgotten	0
pure american muscle	0
they stole ma chickin i stole their life	1
all races are equal	0
when you haven't stolen anything in a week	0
when you have errands to run but you're too tired to deal	0
husband gives massage.. ...aaaand now i have a dick in me	0
who cares if mexicans are offended americans are offended by illegal immigration	1
hold up when she says she likes hung black men so you take her back to your place and she starts tying a noose	1
loyalty always has a cost some times it pays off... ...and some times you take a loss	0
fuck islam	1
ain't nothing but a goat	0
what your ancestors were doing july 4, 1776 what dummies do today for july 4th	0
ignorance and hate will lead you to nothing but shame	0
when there is no pinyata at the party but the emo kid just hung himself improvise. adapt. overcome	0
lost african tribe	0
anne frank writing in her diary	0
a german ss soldier punishing a small jewish boy by sticking a sharpened spear in the boys anus, auschwitz concentration camp, poland 1944. (colorized)	1
definitely a new cultural era!	0
when you suicide bomb an islamic mosque during a friday worship	1
"my wife asked me where i'd like to be buried apparently, ""balls deep in your sister"" wasn't the answer she was expecting"	0
dick punch funny regardless of species	0
this beef is so raw its eating the salad	0
lisa page: obama doj ordered fbi not to prosecute hillary clinton why is the mainstream media ignoring this bombshell	0
when you're fucking but wanna make sure he's not stealing anything	0
replaced kitty litter with pop rocks	0
so..convert to islam or die?  i say fuck it..let's roll	0
cadbury's halal creme eggs  now available in special edition	1
i'm sorry i left the seat up, it won't happen again	0
ever notice that christians are bad drivers	1
teaching them how to hunt young	0
when mohamed puts it inside	0
let's see if they get scared now ! bring they ass out here ! we will cut their heads off	0
when you find out who's been eating your leftovers	0
trump supporters be like show me where he lied	0
you are not wanted! you are a mental deficient!	0
it's a proven fact marines islamic radicals are less prone to violent acts after they've been shot in the head	1
when instincts take over	0
when you make a meme using a different language that everyone can still understand: no es mucho, pero es trabajo honesto	0
18 years later	1
says he alone is tough enough to defeat isis still too chickenshit to release his tax returns	0
when you find the cake your mum was hiding from you	0
welcome refugees to poland's newest 5 star hotel	0
i date crazy bikers with beards cause once you ride a beard and a harley you don't go back	0
heroin is destroying the white community keep up the good work heroin	1
and then i says to her no, i got your nose	0
infamous	0
gee, i'd like to suicide bomb the crap out of that church, but i got a thing at 5 couldn't abdul do it?	1
look at this throatagraph	0
the look your women gives you when you can't finsh the job	0
the pimp hand strong enough for man but made for teaching	0
wait this isn't my dog	0
real friendship is sending them a link to something terrible so you can both be traumatised at the same time i torture all my friends. it's how i show love	0
a muslim in congress wants to get rid of homeland security let that sink in	0
this is why we shoot you guys	0
this chick can't stand fishing	0
lesbians should not be allowed to buy dildos you made your choice bitch, now live with it!	1
when your fifth pet eats food from another guys hand	0
please be patient... we creating a better fuckup for all	0
chinese ppl be like happy thanksgiving	0
in this edition we don't buy property; we steal it!	0
it happend mom, a black guy gave me complement ohhh sweety i'm so sorry. that means you need to lose about 30 pounds	1
this isn't the way, there's always a better way	0
it's ma'am look i found a penis	1
i don't always feel like i'm at the top of the gene pool but when i do, i'm at walmart	0
when you catch your goat with another man ya done fucked up	0
hey, i just met you, and this is crazy, this is my grenade so blow me, maybe?	1
as much as abdul tried he could not get the fucker into first gear	0
when you drink and drive you will get busted	0
when people ask me who my favorite golden girl is	0
where did jimmy go during the bombing? everywhere	1
been talking shit about trump since day one. now crying like bitches after getting called out	0
in a wolrd full of these people be this person	0
when your boss asks for the report but you went out the past few nights	0
a good heart goes a long way	0
oh, you're tired of my anti-trump posts? why don't you pray for me to stop?	0
obama voters	1
feel that? it used to belong to bruce jenner	0
how people look at me when i tell em i don't have kids	0
whose dick do i have to suck to get these charges dropped?	0
can afford to travel from romania to london still picks your pocket	0
immigrants illegal aliens	0
meanwhile at the isis strip club	0
the loudest one in the room.. is the weakest one in the room	0
how could this happen in the current year? when it's 2019 and there are still people who refuse to celebrate rectal wart sex	1
ernie mocks tyrone's lack of a father in front of the whole class	1
when you see a child in a gay parade half naked twerking with everyone celebrating ernie prepares to commit a hate crime	1
how many times do we have to teach you this lesson, you tranny freaks ?	1
why is it bad to be a black jew because you have to sit at the back of the oven	1
what people do in the bedroom is not anyone else's business	0
when you hear 'em yelling that allahakbar crap, just shoot 'em before they blow up a bomb, or start stabbin' and shootin' people	1
i really like 50 cent or as we call him in zimbabwe 4 billion dollars	0
banner in the streets hulk in the sheets	0
wait, mohammad come back!! i didn't mean to laugh, really size doesh't matter to me lol	0
"""america has stolen the jews the jews of god. his jewelry. the negroes. they are the true hebrews"" google it"	1
left lanes need to exit right right lanes need to exit left here's 300 feet. make it happen	0
wing wing wing herro? thats racist!	0
we are soldiers and we fight for our countries to our last minutes	0
liz krueger, n.y. state democratic senater wants to infiltrate the nra and take it over yeah, just like she infiltrated mcdonalds all those years..	0
wait for it .. 	0
wants you to accept him for being a girl couldn't accept himself at birth	1
i hate all fucking jews they are scum of the earth	1
when you eat her ass and then she say that she don't suck dick... wayment	0
for seal thanks.. very fucking useful	0
it's time we make peace with islam	0
when ur too young to know the concept of racism but ur happy cause u got a new pet	0
what's the difference between menstrual blood and sand? you can't gargle sand	0
when i grow up i'm going to be a famous doctor	0
i said a glass of orange juice not just any juice	0
im not racist because racism is a crime and crime is for black people	1
still smiles even when they are scared	0
"the only ""perferred pronouns"" a tranny needs is ""it"" or ""thing"""	1
ex girfriends be like.. i don't even care what he does anymore!!!	0
he's making a list, checking it twice gonna find out who's getting deported by i.c.e	1
i win again! parkinson's center	1
fuck allah, fuck muslims and fuck islam. and if you don't like what i say then fuck	1
be kind to those less fortunate than you	0
love is love respect	0
we swore we'd never forget 911	0
i may be blind but at least i'm rich!	0
you don't need an ar15 to protect yourself but he does, and this guy and this guy, and him and him and him	0
laughs in 52% of us crime rate	0
when black people make white jokes when white people make black jokes	0
justin trudeau the imam of canada	0
with sensitive ass people, my sense of humor is way too fucked up for that	0
my little brother ate all the scrabble tiles... sense than alexandria ocasio-corte ton and his shit makes more sense than alexandria ocasio cortez	0
i'm not saying that your perfume is too strong. all i'm saying is that the canary was alive before you got here	0
do you have any idea how black you were going?	0
you may be a racist if.. your response to a question from an african american is to mention the inner city 25 times	1
when i was a kid i thought black people were made from anal sex	1
greetings ... time to run	0
"a girl asks her mom, ""why am i black and you're white?"" she says, ""the way that party went, you're lucky you don't bark. """	1
when you have to fight captain america because you had an argument	0
chelsea clinton.. so ugly that when she gives head, it counts as anal	0
no less beautiful	0
i'm so fucking gay i can't even think straight	0
government shills hate him!!! <<< this aussie shitposter removes 50 muslims with this one weird trick and basically you are fucking accelerated!	1
if i can't trust you i don't need you	0
everybody having kids /getting engaged and i'm over here like	0
never let someone who has done nothing tell you how to do anything	0
and for my next trick i'll make democrats defend rats	0
i didn't hear the question ... ...but the answer is, white people are racist	1
rosie o 'donnell had to be removed from her home today to make good on her threat to leave the us if donald trump became president	0
i'm going to prison aren't i ?	0
hoes be like why can't i find a good man	0
when you take this girl on a date and she won't stop talking.	0
i could have annihilated all of them but i left some of them alive so you will know why i was killing them	0
keep it up and you'll get some regime change	0
when she's mad at you but you want her attention	0
mobile nun	0
didnt stand during the national anthem... no one said a word... # whiteprivilege	1
come on our shame tour! we will show you how to murder babies and harass the elderly	1
if they aren't meant to cook why do they have eggs and milk inside them	0
white people dont shoot eachother in the streets like black people do we do it in schools, because we have class	1
"""people are tired of the same, old ideas"" says the 74 year old socialist"	0
don't get me started about your tranny problems	0
when you advocate for killing babies after their birth and then you have ash on your forhead for ash wednesday unbelievable smh	0
donald trump proving you don't have to be poor to be trailer trash	0
this one time at camp we got so baked	1
never had one before . what? a room to yourself? a white bitch	1
when your stoner friend looks in your fridge	0
i put brake fluid in my meth... now i can stop whenever i want	0
when your goat hits your g-spot	0
when you're trying to be a good student and just learn magic but three kids in class keep getting in trouble all the time	0
confession-every sunday around brunch time i take my cat to the mall and make people take pictures of us	0
thanks trump for my new job making america white again	1
for guys that like it nice and slow gimme a call	1
march 8th international women's day	0
forgive me allah.. i just can't understand why i am allowed to behead my enemies and marry little girls, but i can't eat a fucking ham sandwich	1
jokes don't kill people they kill people	0
if he's marrying me then why's he fucking a goat	0
fuck you, asshole how's that for customer service?	0
get ready for your future white folks.. nuclear fire & eternal slavery!	1
that face you make when you get asked a question and have to think on it for a while	0
colin kaepernick and his evil white oppressors oh wait, those are his parents!	1
go ahead, call the cops see who cums first	0
terrorism is just part and parcel of living in a big city. sadiq khan london mayor tokyo: over 13 million people no islamic terrorism	0
animals enjoy motorcycle rides too	0
when nobody knew who you were until you got on your knees	0
cutest little beagle in the whole wide world	0
creeps into your childs room empties his sack	0
black chicks even the white ones are ugly	1
grandma is not getting run over by a reindeer this year!!	0
holocaust jokes are offensive ann frankly aren't funny	1
love is love is love is love	0
muslims in a predominantly christian nation christians in a predominantly muslim nation	0
well judge, made me do it all remember it was me who first said was kenyan	0
when your goat tells you she ain't on the pil	1
the old lady treats arthur to some delicious cookies she's baked	0
so i prayed over him like this and i made sure he felt the lord inside him	0
been dropping blessings all year like	0
watch out i'll put a bomb in your car	0
i'm not racist. racism is a crime and crime is only for blacks	1
"""where did you learn to make kool-aid like that britney?"""	0
what do you call a black guy in a tree with a briefcase.. a branch manager	0
when you beat up a black kid and get arrested for propriety damage	1
thats a little savage	0
abba ree i can fryyy	1
"did i just hear grandma tell me ""no"""	0
shes got them summer teeth summer here summer missing	0
when you her ass and then she say that she don't suck dick.. wayment	0
batman! thank god you've arrived!	0
learning to ride a bike	0
when you finger a girl from auschwitz	1
obama voters	0
he's like 20 and still plays video games bitch please, yall 15 and pregnant	0
cooking teacher: 'today we'll learn how to use the ovens' the german kid:	1
"""islam is love!"" - ariana grande yeah, if you're a goat"	1
"""islam is love!"" ariana grande august 2017 hillary clinton rally yeah, if you're a goat ***"	1
hmmm minyoda i am beat women i must	1
how do we destroy the patriarchy? it's simple. we eat it	1
"""i went to walmart and picked up a new sandwich maker."""	0
new for 2015 peel and stick eye-slit stickers to make your garbage & trash sharia compliant in compliance with sharia law, you can now turn all your garbage into muslim trash!	1
when you feel beautiful no matter what the haters say	0
you'd be angry too if you found out they cancelled your favorite show	0
what's hillary's favorite pizza? little seizures	1
when the muslim kid you bullied starts counting backwards	1
"""okay class bring out your calculators"" mohammed:"	1
i refuse to debate gun control with folks who eat soap and are confused on which pisser to use	0
i think i almost got my dishwasher working	0
the old lady shows arthur what she used to do during the war	0
that's where the new skyscraper is going to come up	0
when you run out of bras and have to hold the girls up on your own	0
both men and women sacrificed in different ways but it was all to protect their comfortable home	0
the fuck did you just say?	0
i can put up with muslims killing canadians but i absolutely will not tolerate canadians criticizing muslims	1
i am 73 years old. who's going to ask how i do it??,,,	0
felling cute might fuck a goat later. idk	0
how to get out of a gym contract	0
his grandparents died in the holocaust so we gonna put an oven in the trunk	1
islamic warrior's funeral in palestine	0
how it feels being a military spouse over 30	0
chloroform puts the sensual back into non-consensual	0
what do you mean happy columbus day?	0
exfoliating with the tears of my haters	0
reaction to a home invasion non gun owner: we're gunna die!!! gun owner: i'm your huckleberry	0
when you have flashbacks from wwii	0
as muslims, our quran orders us to immigrate to other countries, replace their governments with sharia law, orders the murder of christians, jews and all gay people, while embracing slavery and pedophilia. thanks democrats for making it so easy for us!	1
i didn't choose the tranny life the tranny life choose me	1
how the co looks when he tells the crew were not getting mail on the next ras	0
i support americans even though some of them are really hating on me right now	0
dark humor is like him '' it never gets old	0
tries to send killers to kill dante in dantes inferno	0
it is disgusting to laugh at gender dysphoria	0
based in america	0
this is what vitiligo looks like	0
what every muslim looks like to me	0
"""so first of all you guys didn't even invite me to your little airport fight and you guys know how much i love fighting so fuck you"""	0
all those in favour of bringing swedish women to america as refugees instead of muslims please like and share	1
i said glass of juice not gas the jews	1
can i get an order of savage with no chili please	0
when you ask your girlfriend who tf is texting her at 1:47 a.m	0
mississippi wind chime	0
auditioned for jazz band not enough soul	0
throwing off a gay one with the boys	1
no means no unless she's dyslexic then it's on	1
we will kill every man, woman, child shia, sunni.... zoroastrain, kurd or christian but we don't touch israel why is that?	1
when it comes to acting scarlett johansson has amazing tits	0
influence elections? haha that's a hoax	0
to bad i don't speak peasant .!	0
racism exists among all races in the world.. white people are just better at it, like most things	1
never forget the holocaust	0
white people doing weird shit black people being criminals stereotypes they exist for a reason	1
record black employment record black welfare record black imprisonment	0
happy and stupid	0
when you step on a landmine but you do not weigh enough	0
fuck i stepped in shit	0
when you finger an asian girl	0
10-4 copy that, approaching the suspect	0
pauline hanson warns: obey our our rules our rules or go back where you came from!	0
the answer to the age-old question, does a bear shit in the woods? answer... yes they do! and here is scientific proof	0
and to think, i almost swallowed you	0
bank took your house? that must be tough	0
hey kids for a good time dial #666-hotdawg	0
you ever get laid in a sleeping bag? it's awful. you can't even move, you're drenched in sweat, and your scout master is covering your mouth	0
"pissed off two men becuase i refered to them as hipsters apparently the correct term is ""conjoined twins"""	1
any girls a squirter if you sever an artery	1
the tranny your you been girlfriend fucking	1
friendly reminder: a hooker and con man are in the white house fucking things up	0
they told me i could become anything so i became a scarecrow	0
our voice can change history for better or...worse	0
indians evolution after 15august1947	1
i was chatting this liberal chick in a bar who told me that i should be more open to muslim culture so i raped her	1
obama throws first pitch at an all-star game	0
no difference between both	0
how it feels to chew peppermint gum after biting a jalapeno	0
when you eat your rehab romance booty in the laundry room but she's day 3 sick	0
live your life every moment	0
i like offending people because i think people who get offended should be offended	0
smoke pours from the wtc on 911	0
me during no shave november	0
i had twins with my third husband, which i conceived while married to my first husband, and delivered while married to my second husband, who adopted them before i divorced him and married my third husband. but that was then, now i'm married to my fourth husband. i'm just an evangelical who believes in the sanctity of marriage	0
"she literally tweeted ""let's make gas chambers great again"""	1
once you go black so does your face	0
running tired of bitches from the dick? i give you the clamp that bitch down 3000	0
chicken niggers	1
this has nothing to do with this post but i have 2 barely fucked goats for sale	0
we're new, bold, and we hate you! we hate whites, jews, christians, conservatives, republicans, & patriots	1
sad world history	0
it wasn't my fault my truck has tranny issue's	0
on behalf of nsw go f@#k yourself queensland	0
not all angels reside in heaven.. many walk the battlefield.	0
when each letter is a mental disorder	0
my dad is the best at hide and seek he's been gone for 15 years	1
your purchase of $19.99 comes to $21.36 after theft	1
when another dog pees on your lawn	0
when you're a nazi officer and someone gives you the name and location of a jewish family	1
hello jesus thanks for making a way!	0
that's right white crackers	0
everyone knows hitting appliances that stop working, sometimes fixes the problem	0
"barn army enlist, and bomb ant hills ""grab your pitchfork and meet at the barn"""	0
be sure to spay or neuter your spouse today	0
when you catch your goat with another man	0
mississippi wind chime	0
black people: damn y'all crackas some bitches y'all so sensitive lmao mayo ass crackas white people: black people:	1
in alcohols defense i've made some pretty shitty decisions while sober	0
when someone starts acting all friendly, but you already know what they really are	0
burning things that don't mean anything to you	0
what's the difference between a cow and the holocaust? you can't milk a cow for 75 years	1
if you outlaw abortions abortions will just happen illegally but if you outlaw guns we will all be safe from gun crime	0
when the chow mein was on point but you kinda miss your cat	1
the thing about deeply depressed people is we don't smile with our teeth we smile with our eyes	0
my momma... momma says girls are the devil	1
the most beautiful chimpanzee and above him is one uglyass retarded nibba who says dc is better than marvel	1
"when someone says, ""money can't buy happiness."" then explain these."	0
and then i said homosexuals can go to heaven	0
just like that democrats who said you aren't mature enough to own a gun til 21 decided you are mature enough to vote on laws about guns at 16	0
what bomb	0
elon musk presents infinite energy source	0
new seat belt design 50% less accidents	0
when you tell him he can't go to chic-fil-a on sundays. what do you mean?	0
it didn't happen because of the actions of one man it happened because of people who were 'just doing their jobs'	0
when they asks why you dropped the muslim kid off from school to give the parents back their bomb	1
when you floor it but your passengers arent ready	0
you can't get her pregnant if she's a goat	0
you see that?? it means get the fuck back to the kitchen	0
now imagine if native american cowboys rode bicycles	0
not all of us are terrorists but all terrorists are one of us	0
first rule of fight club.	0
who let this retard in this group	1
africa 100 years ago africa today + aids	1
*laughs in goat-fucker*	0
christianity making white people stupid for the past 2000 years	1
and then i said, mr. president only targets there's no walmart's in north korea	0
a bad day for everyone including muslims defend homeland security a good day for us all in 2019	0
hachimaki is a traditional headband worn by japanese men	0
beach vibe	0
lmao laugh my ass off	0
gays on their way home after pride week	0
take me out for dinner first then you have my permission to play lol	0
i'd like to report hello 911 emergency? a misandry! yes this girl came out of nowhere and totally ignored my man feelings!	0
black friday sale	1
roses are red, violets are blue mexicans are rapists, and so am i	1
we are peaceful people	0
all walks of people can celebrate the gift of life	0
the smell of not wearing deoderant	1
when the pope addresses the people he does it with a smile	0
when you're shooting up the school and the cops shoot the black kid that's running away	1
they trained you to hate the only man with the balls to stand up to them	1
don't do the crime, if you can't do the time	0
when you've had a long day but you need to but geroceries	0
o yeah we got the nintendo switch! hey goat, yes human? close your eyes goat, ok human	0
(muslim noises)	1
summers here lets swim	0
first of all, take a moment to realize who the fuck you are talking to	0
good skeleton	0
i just started a company selling landmines that look like prayer mats prophets are going through the roof	0
"""radical"" islam? is there a kind that doesn't molest children and goats and behead people?"	1
when you introduce someone to a new meme you like that?	0
when you vent to a white person ughh, my mom pissed me off wanna kill her? there u go wit dat bs	1
man getting arrested by the la pd	0
what! no i am not asian	0
obama voters	0
when she hits you with the super sloppy 2 handed mctwist while making eye contact and calling you daddy and you just go full autistic	1
after smelling that home cooked meal	0
bosses be like when you coming in?	0
don't know how to deal with black people but i guess i'll take a shot at it	1
"""oh no hundreds of white people: years of culture is being destroyed"" all other reaces: first time?"	0
its a 3-day weekend pace yourself	0
"some crazy rez girls be like: ""if you ever leave me, i'll punch myself in the face and tell cops you did it"""	0
african kids dancing and celebrating	0
one of the most brillant minds in science	0
it's time to stop this	0
fuck the enemy so hard their eyebrows bleed	0
why isn't my drain working? probably cause the pipe's black	1
all part of satan's plan. the anti christ will come from this	0
actually retard, the muslims aren't the problem the problem is that pussies are stopping us from killing the muslims	1
weeeee! im back home	0
"""why do you have to punch a hole in the wall when you get upset?"" white guys: it defines who i am"	1
run along now felicia you don't want to miss the water truck.....ya thirsty bitch	0
--and if anything happens, the women are to blame -- that's right, it's their fault, definitely	0
when you see another black person getting their ass whipped by the cops stop breaking the law	1
"we used to have safe neighborhoods now we have ""diversity"""	0
when you enter the womens restroom by mistake	0
dressed for sundays best	0
this steak is so black it stole my television	1
broken dishwasher for sale or rent	0
what does a baby from auschwitz look like?	0
wing wing wing herro? thats racist	1
cumshot on jewish girl face - 1943	1
conjoined twins abby and brittany	0
when u tryin to be cute but she gotta make everything sexual	0
being disabled doesn't stop me	0
going on vacation vs going back to work	0
am i hearing the american people correctly you want to hand over all your means of protection and make it easier for terrorists to come into the country? gotcha!	0
democrats claim daca kids shouldn't t have to pay for their parent's crimes.. ...but white people are still responsible for 17th century slave owners??	0
well let me tell you something brother fuck niccfps	1
ford owner blew a rod wasnt talking about his engine	0
this offends me ban them do you agree?	0
you funny mother fucker you!!	0
one day, long, long ago, there lived a woman who did not whine, nag or bitch. but it was a long time ago, and it was just one day. ~the end~	1
the look on your face after killing someone!	0
that job interview was going so well. until i realized i was fucked up on acid in the middle of a cornfield naked and talking to a scarecrow	0
"""where you can get with that bull shit what is "" fuck outta here"" correct"	0
a muslim in congress wants to get rid of homeland security let that sink in! 18 years after 9/11 and this is where we are at?	1
when the plantation owner trades you for a tractor w.t.f!!!	1
ps4 playstation' vr required food simulator 18 18	0
black men latin men asian men white men	0
