	Unnamed: 0	text	label
3093	3093	if you see me in public looking a hot mess, just know; my bills are paid, my children have food, & i ain't trying to impress you	0
6793	6793	they are not escaping to find a better life they are invading us to destroy ours	0
6704	6704	i once dumped a cross eyed chick thought she was seeing someone else	0
3704	3704	they want this not beause they love you they need to mix breed to preserve their species	0
1363	1363	white kids be like i'm killing everybody, watch	1
2481	2481	i didn't buy a colour tv to watch naggers on it	1
8697	197	burning them was a great public service	1
5339	5339	it's a wiener pit kind of like your mom	0
662	662	went gay clubbing with some friends turns out out they were expecting something very different	0
2209	2209	remember when illegal aliens just wanted to just go home? now they want free food, healthcare, and housing	1
5083	5083	why don't jews eat pussy? because it's too close to the gas chamber	1
3887	3887	last one there is a rotten fish	0
2056	2056	when you feel mentally unwell seek help	0
5781	5781	don't ever let a man do this to you	0
3159	3159	me: *locks the door* every jew in the gas chamber:	1
3710	3710	i'm not a racist	0
6243	6243	this is how lesbians have sex	0
2488	2488	you have adhd? well, i know a place i can send you where you'll learn to concentrate	0
4670	4670	a short histoy of u.s. presidents	1
5945	5945	dark humor is like food not everyone gets it	1
841	841	this would be racist if black people could read	1
1060	1060	illegal aliens immigrants	0
5999	5999	the day i realized i didn't need no bitch to bust a nut	0
3666	3666	some people aren't your friends they're just scared to be your enemies	0
7043	7043	after sex selfies	0
7203	7203	putting bows on your pet	1
7018	7018	no one could have ever predicted 9/11	0
9084	584	hitler would not be a fan of the current immigration situation	0
2729	2729	a muslim threesome	0
3740	3740	why do black people smell bad? so blind people can hate them too	1
5774	5774	the look you give when your husband would rather fuck a goat then you	0
7829	7829	you're in the wrong neighborhood motherfucker	0
959	959	when people say you have an explosive personality	0
2068	2068	when your mom has to take a picture everywhere	0
7716	7716	this one time at camp someone had too much gas	1
2470	2470	when someone tells me women must serve men	0
6237	6237	"i pull up in this and yell ""come on we got some redneck sh*t to do"" are you getting in?"	0
6123	6123	when you're conjoined twins, we often have the same thoughts	0
7309	7309	i work hard to provide for my cocaine addiction	0
4358	4358	i too was once a male trapped in a female's body but then i was born	0
679	679	when one of your boy says he's a fan of conor mcgregor	0
1352	1352	happy birthday i made you a drink	0
3790	3790	the best game of all time farming simulator 1848	1
47	47	officer down	0
6699	6699	i'm not a racist my shadow is black	1
8840	340	a cat in a pot	0
2211	2211	when you realize you left the stove on at home	0
1478	1478	it was on that day tom had enough of jerrys shit	0
1906	1906	you used so much thyme the doctor showed up to fix the paradoxes you created	0
8964	464	my new muslim girlfriend not much to look at	1
3990	3990	i have a dream thats me with the belt	1
6151	6151	when you get a compliment out of the blue and have to try not to be bashful	0
2736	2736	how chevy guys go muddin how ford guys go muddin	0
5786	5786	when the air hostess gives you two extra slice of bread and a pack of milk but you still have to blow up the plane anyway musalman	1
2462	2462	remeber behind very great black man is the police	1
27	27	is bribing muslims for liberal votes justin trudeau's only skill? why does justin trudeau love foreigners so much while openly disrespecting canadians, canadian values, our history and traditions, our seniors and veterans? sharia law has no place in canada! never has... never will.	0
5310	5310	when you're a real life super spy	0
1558	1558	been here 3 months, gets $1 400 /wk from the government been here 6 generations, gets loan to be repaid in full from the government	1
5850	5850	man buns you don't look like a samurai, you look like a soccer mom	0
5109	5109	when youve finally had enough of your autistic brother, you decide to sell him to the local pedophile	1
3510	3510	rashida tlaib in traditional 'palestinian garb'	1
5471	5471	so you are telling me american gypsies are just white trash	1
7509	7509	muslims did this islam is not a religion! it's the world's largest death cult christian girl: killed for refusing to convert to islam this is islam	1
5171	5171	my culture has great food !	0
157	157	celebreated 4/20 on january 5th because i know how to reduce fractions	0
116	116	if you hold a black baby to your ear, you can hear the police sirens	1
4871	4871	once you go black so does your eye	1
2007	2007	how we see muslims how muslims see us	0
7470	7470	trans women are women, trans women are women, trans women are women, trans women are women, she still gotta get a prostate exam at 40 tho	1
8541	41	my husband is always pushing me around... and talking behind my back	1
911	911	let me be perfectly clear... i will never stop lying to you suckers!!!	0
1162	1162	when your white friends invite you to dinner and tell you to bring whatever you want	0
4733	4733	rice cooker now versus in 1945	0
3092	3092	england where moslems can rape your children and reporting it is a crime	1
1280	1280	fuck multiculturalism have white babies	1
4820	4820	this shit right here is why i suicide people	0
5485	5485	once you go black you don't go back	1
7813	7813	"what do you mean ""your chair"" i don't see you sitting in it"	0
6633	6633	hello abdul, today i'm alone at home. *abdul this is ultimate	1
1638	1638	before you go around launching lawsuits let me remind you of the surveillance photos we have of you, remember that a tranny crack whore doing lines off your dick	1
1572	1572	the 70's $5 to see the greatest band live in concert 2000's $100 to see a laptop... live	0
955	955	alright i'm going to let go now	0
32	32	my sandwich-maker is very slow today	0
8007	8007	do you have any idea how black you were going	1
6142	6142	black on black	1
811	811	puts on sunblock doesn't protect from harmful rays	0
3764	3764	cheering on your team in the world cup	0
6938	6938	the horrors of the holocaust three u.s. soldiers look at bodies stuffed into an oven in a crematorium	0
864	864	what you really mean when you say your going to the bathroom	0
8303	8303	when buslim nibba see his sister	1
1587	1587	when ancestry.com tells me that i'm 0.1% german rev up those fryers	1
479	479	running tired of bitches from the dick? i give you the clamp that bitch down 3000	0
2376	2376	she will only marry a pubg player	0
86	86	we can kill as many as we want and your stupid government keeps bringing us in	1
8548	48	that's the way allah allah i like it	1
1774	1774	time for my 100th selfie of the day	0
7948	7948	do the goyim hate me because i am a subversive parasite with double standards? no, its because they are anti semits	1
6197	6197	meanwhile at the isis strip club	0
3754	3754	same	0
2359	2359	don't be a pooper	0
3301	3301	laughter really is the best medicine	0
279	279	"""america has stolen the jews the jews of god. his jewelry. the negroes. they are the true hebrews"" google it"	1
2880	2880	fifty shades of goat an isis love story	0
8240	8240	why can't we spend money on education instead of drugs	0
6496	6496	bruhh.. white ppl give me a headache	1
